Feature,Mean_Healthy,SD_Healthy,N_Healthy,Mean_Sick,SD_Sick,N_Sick,Mean_Treated,SD_Treated,N_Treated,p_ANOVA,p_Healthy_vs_Sick,p_Sick_vs_Treated,InjuryChange,TreatmentEffect,FinalEffect,EffectSize_Benefit,EffectSize_Harm
Mean phase excursion - rforelimb - shoulder std,2.84338437590768,2.21078935866915,20,2.39167731073525,1.44035417074535,20,1.81843321298037,1.14457837887118,20,0.156874067523812,1,0.167617287136195,0,0,No effect,NaN,NaN
Mean phase excursion - rforelimb - elbow (°),100.397434146434,6.316924152028,20,96.1532772171907,4.88837871465145,20,99.712420098658,4.87528738351684,20,0.0350111164091172,0.047845060639835,1,1,0,No effect,NaN,NaN
Mean phase excursion - rforelimb - elbow std,6.58974397700058,4.53244896732284,20,5.07692373054458,2.44317794492363,20,4.68474370422343,2.39468862184469,20,0.161503309848638,0.450025009035727,0.214078872653173,0,0,No effect,NaN,NaN
Mean phase excursion - rforelimb - wrist (°),146.547311480936,9.90984083752489,20,150.821126385103,4.68775726117129,20,147.203556900615,5.11309536078115,20,0.123278986586032,0.173809608428362,1,0,0,No effect,NaN,NaN
Mean phase excursion - rforelimb - wrist std,9.71954017150496,9.4897378983821,20,5.85224760801593,3.63275151095124,20,6.34548129729962,3.16397585139019,20,0.10482957158398,0.154075327680062,0.263644105724457,0,0,No effect,NaN,NaN
Mean phase excursion - rhindlimb - hip (°),72.3489656476545,4.13834260400147,20,72.6746181856273,5.2899330189472,20,70.8737436455652,3.892395843096,20,0.405555355935283,1,0.906969718495103,0,0,No effect,NaN,NaN
Mean phase excursion - rhindlimb - hip std,3.94907638242063,1.4826083772859,20,4.32047074257148,2.12407664928705,20,3.26398915337565,1.7358646605437,20,0.179140534293196,1,0.70140319512432,0,0,No effect,NaN,NaN
Mean phase excursion - rhindlimb - knee (°),62.3826852494233,2.99155629756652,20,61.8820145244105,2.56903854038843,20,62.4916355862044,3.33628609663588,20,0.7892192932366,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - rhindlimb - knee std,3.05965673105739,1.74391969371123,20,2.25873011021764,1.39958488380119,20,2.26657685653583,1.50377152852997,20,0.183034862544996,0.32714989810295,0.337453538154833,0,0,No effect,NaN,NaN
Mean phase excursion - rhindlimb - ankle (°),116.721980021969,6.63550670187173,20,106.650608110261,7.263953725399,20,104.690185373604,8.77370314630008,20,8.73475626072495e-06,0.000299500855833119,1.74463712801622e-05,1,1,Worsening,NaN,1.96042273665677
Mean phase excursion - rhindlimb - ankle std,6.1938439743532,3.55833324074807,20,5.4240801287482,2.54268144000957,20,6.0918963904301,3.0560182316943,20,0.693424324276612,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - rhindlimb - lHindpaw (°),119.906830664157,12.420692158415,20,119.812942202143,11.359094691255,20,116.168927404825,10.9880126784505,20,0.51334100619735,1,0.938179216795418,0,0,No effect,NaN,NaN
Mean phase excursion - rhindlimb - lHindpaw std,11.4447582474167,5.7488125407874,20,8.87141026605853,3.95416971656937,20,10.3779404852949,5.53681463569676,20,0.290277744685698,0.357287447183652,1,0,0,No effect,NaN,NaN
Mean phase excursion - spine - head (°),18.9112269809652,8.12041098585957,20,20.5362805162613,5.19497352373892,20,22.3877772413436,3.49750464512406,20,0.187093311110021,1,0.205499695559779,0,0,No effect,NaN,NaN
Mean phase excursion - spine - head std,6.96181360511562,9.46738674655182,20,5.73796190108736,3.41841399548675,20,7.58143580642405,3.63088370375001,20,0.632892007747695,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - spine - spine 1 (°),16.7547581176304,3.49200537648256,20,18.9245325934318,4.24707900731334,20,20.0711977368008,4.01054075704753,20,0.0315335453819309,0.258460166911773,0.0296663789042313,0,1,No effect,NaN,NaN
Mean phase excursion - spine - spine 1 std,4.48228289538577,3.82734479424878,20,3.81771675547303,2.02348145146385,20,3.87071165151159,2.25384825255484,20,0.710694317299852,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - spine - spine 2 (°),15.0351868595737,3.805622862043,20,15.8138801361695,3.70378237095048,20,17.0671594329236,4.38937833940568,20,0.272953408180464,1,0.335237819364202,0,0,No effect,NaN,NaN
Mean phase excursion - spine - spine 2 std,3.77833328122851,3.20199153719661,20,3.72981312516235,2.16255102169927,20,4.85524361064011,2.46636096451895,20,0.322060620455622,1,0.610120691628864,0,0,No effect,NaN,NaN
Mean phase excursion - spine - spine 3 (°),19.5990220196028,4.02442368025465,20,19.8351584369931,3.54243755325707,20,21.8687807879492,3.93203599392597,20,0.130176068226557,1,0.199941376402247,0,0,No effect,NaN,NaN
Mean phase excursion - spine - spine 3 std,3.8131995319924,2.63392559366148,20,4.07784635458517,1.99246610373598,20,4.13104162483894,2.01752087041151,20,0.890597294381656,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - spine - spine 4 (°),18.5681620175451,3.97637508373837,20,18.8815881369372,3.48099207783383,20,19.9361735265807,3.26847223051924,20,0.455122354204539,1,0.698580070712993,0,0,No effect,NaN,NaN
Mean phase excursion - spine - spine 4 std,3.48392613950285,2.24464525397006,20,3.77666396650027,1.82431706339148,20,3.44572350346138,1.86153354486651,20,0.847263859238531,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - tail - base (°),25.2759697001965,6.23204527780263,20,23.0264029769466,5.66032843067461,20,21.2663225394681,4.97049982635206,20,0.0881218995716142,0.638107831421032,0.0857208913992653,0,0,No effect,NaN,NaN
Mean phase excursion - tail - base std,6.67555771847394,5.27709368861979,20,5.84008985907334,4.05869161131648,20,4.73842364311515,3.43531352301483,20,0.370909022575882,1,0.486393822590364,0,0,No effect,NaN,NaN
Mean phase excursion - tail - tail 1 (°),71.2678510181254,39.2077281432475,20,58.0780755413591,30.8795678550914,20,45.5678484484049,28.0178513980841,20,0.0564107843874904,0.636014694648584,0.0509198815464107,0,0,No effect,NaN,NaN
Mean phase excursion - tail - tail 1 std,44.9719008573796,30.1399233905715,20,35.5786760903392,25.9564386458973,20,25.6860367065055,18.8964561351366,20,0.0644758938619818,0.742626147248969,0.0592359625839429,0,0,No effect,NaN,NaN
Mean phase excursion - tail - tail 2 (°),-4.11636005408632,81.6921329780642,20,-25.3285108171414,95.330989831303,20,-13.4679299196826,71.5563279128566,20,0.724056708468868,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - tail - tail 2 std,62.7641339918155,30.3752528704192,20,53.7884124592174,20.9942913576494,20,45.411208736366,22.3315342062135,20,0.0974095434584946,0.778066592692003,0.0950523925427865,0,0,No effect,NaN,NaN
Mean phase excursion - tail - tail 3 (°),16.2731981924986,108.453219819069,20,33.0604074704694,125.511738719871,20,18.0797672399696,112.173810200922,20,0.880928434499124,1,1,0,0,No effect,NaN,NaN
Mean phase excursion - tail - tail 3 std,73.3197273717368,32.2054980202756,20,72.5469283155332,33.2188005984798,20,71.0004024848934,28.8122338585372,20,0.972238539936383,1,1,0,0,No effect,NaN,NaN
Mean angle value - rforelimb - shoulder (°),56.8174806117347,2.56224042090951,20,58.5859654814484,2.57412531206602,20,55.790548147442,2.87410823500451,20,0.00605849168774649,0.122887348175785,0.688775294138605,0,0,No effect,NaN,NaN
