Dataset and Mouse and Run,Number of steps (#),Number of steps std,Mean step height (m),Mean step height std,Mean step length (m),Mean step length std,Mean step duration (s),Mean step duration std,Mean step frequency (Hz),Mean step frequency std,Mean propulsion vector angle (deg),Mean propulsion vector angle std,Time mean,Time std,Instant speed - Spine - X mean,Instant speed - Spine - X std,Instant speed - Spine - Y mean,Instant speed - Spine - Y std
preDLC - mouse6 - 1,3.0,,0.0056006994002904915,0.00046574738296632534,0.0765712405473758,0.00918590789313085,0.11297599106644333,0.020374538715943975,9.116167903201715,0.020374538715943975,5.73087360643565,1.663293663796108,0.3768844221105528,0.21904014791661675,0.411863729257012,0.06420994029411976,0.002368714158817197,0.05931191712097226
preDLC - mouse6 - 2,3.0,,0.004738405667818506,0.0013980049037834394,0.06453120696238983,0.012284751123172684,0.07917942201428597,0.0063034525374520345,12.712827130852341,0.0063034525374520345,6.64160483327943,3.8675471976536273,0.4371859296482412,0.2538558982977907,0.4560809979491182,0.11849113671638688,0.002012529265574931,0.07532053813989596
preDLC - mouse7 - 0,5.0,,0.00397140268179087,0.002205945420959828,0.044752305250901445,0.035506337447208824,0.1229274578018297,0.03724040704815023,9.425634205392072,0.03724040704815023,24.801862270710572,27.666735266192426,0.9798994974874372,0.5671940124431141,0.19829189271893735,0.05395842815587016,-0.0008527984308941679,0.03553673582453181
preDLC - mouse7 - 1,4.0,,0.00449692065899189,0.0006194631613779211,0.03948555579552285,0.015043599475967496,0.06800964622105503,0.02376302663878808,17.014393125671326,0.02376302663878808,7.459478404706806,3.257175522856928,0.9999999999999999,0.5787990801732327,0.18860230580691423,0.08621659934831126,0.00018680684050621235,0.03353885515161662
preDLC - mouse7 - 2,3.0,,0.006876756716997186,0.0005572350307985036,0.08630999834109576,0.0036441252055735155,0.12462311557788942,0.010381465929215744,8.081590697898944,0.010381465929215744,4.708249275864583,0.45073850847397384,0.46482412060301503,0.26981306040503084,0.41304073327824137,0.07810870412230939,-0.0010734739847869526,0.06452147567029103
preDLC - mouse7 - 3,1.0,,0.005755051832932678,0.0,0.04843200683593751,0.0,0.045512371986514866,0.0,21.972047519217323,0.0,6.726127157292777,0.0,0.3969849246231155,0.2306454201414875,0.4933799547503943,0.07058394079327898,0.0011442817155247007,0.06491242188470354
preDLC - mouse8 - 0,5.0,,0.004156022291917083,0.0014664126154913036,0.040710456261268034,0.027550773048834076,0.11481407035175879,0.05408637692105523,19.138688887770563,0.05408637692105523,24.173898802810058,32.307157256353506,1.1934673366834172,0.6904977931488088,0.157824146479426,0.09029287351281899,0.0006064500625830734,0.029584788483798214
preDLC - mouse8 - 1,3.0,,0.004951895689352985,0.0014742039792986672,0.07287025256034656,0.006281256451578573,0.11104630294328782,0.007138326712444925,9.044405797101453,0.007138326712444928,4.4447485030625,1.536415929113647,0.5628140703517588,0.32638826020284356,0.3548047424017534,0.0618372133333194,-0.0010827601853938575,0.06784925956533817
preDLC - mouse8 - 2,4.0,,0.005915377690241891,0.00024421451516629886,0.06604933812068059,0.010406139963327857,0.13492556415033974,0.015288649779794173,7.4966103078358195,0.015288649779794173,6.097569480544991,1.0452914459002358,0.670854271356784,0.3887658165654418,0.2950349623053822,0.06448389604808995,0.0008108486638322744,0.05285026567081553
preDLC - mouse9 - 0,3.0,,0.005173601981921054,0.0004548108785188138,0.06552801670172277,0.0016274089460275956,0.1443982271805599,0.02338644854311487,7.098934011861618,0.023386448543114873,9.132241741973955,3.4134218424189844,1.0502512562814073,0.6078117432847664,0.15900400411527515,0.08535914776837297,-0.0001624362526059009,0.02811486428450628
preDLC - mouse9 - 1,2.0,,0.0061015848013070695,0.0008232762263371551,0.06024459251990687,0.011300817636343177,0.1414325513578254,0.030306975290962587,7.410799933844203,0.030306975290962594,6.199953640133239,2.2404978749497424,0.4849246231155778,0.28141825175061636,0.33961645368353705,0.07774952913085313,-0.0005166874390697309,0.0588717889509825
preDLC - mouse9 - 2,1.0,,0.006198014479417091,0.0,0.07417607234074519,0.0,0.1366206030150754,0.0,7.319540229885057,0.0,4.950951003730845,0.0,0.3618090452261307,0.21033617624579246,0.38095777239576045,0.11835358137619124,-0.000800081247992453,0.056379774252352854
preDLC - mouse10 - 0,2.0,,0.003523747370793251,0.000820159912109375,0.03596849881685697,0.0013531142014723413,0.07060482267452371,0.02017280647843532,15.42230187176423,0.020172806478435317,9.56225907897877,2.8488632172522985,0.6984924623115577,0.4047228402579918,0.27175189608281264,0.06044418971138516,0.0018893269385586997,0.038382347827131125
preDLC - mouse10 - 1,3.0,,0.006701797094100588,0.000599069933413312,0.08659182426257012,0.003522221186329582,0.10612383953666638,0.01237853601951581,9.553827804530052,0.01237853601951581,5.575434754952348,0.7714537154216025,0.44472361809045224,0.258207854604366,0.4380616154357495,0.07870482700209444,0.001504834152305206,0.04646445931480996
preDLC - mouse10 - 2,3.0,,0.005576915251903051,0.0006196492006472745,0.07825937124399039,0.003059418175190598,0.09943007721534507,0.010388612886484051,10.171756063306862,0.010388612886484051,4.822753131593492,0.7195621013076248,0.41206030150753775,0.2393493589295278,0.4016334777986162,0.0716655960599929,0.0036007027199959564,0.05064559710011468
,,,,,,,,,,,,,,,,,,
