Feature,Mean Healthy Left C,SD Healthy Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Healthy Left C,Number of samples in Sick Left E,p-value Healthy Left C vs Sick Left E,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration at peak - spine - spine 1 std,93.88584570083542,63.566708714729344,108.15992997898634,49.983391905128066,10,10,0.4548409860231285,n.s.,Levene,Mean angle acceleration at peak - spine - spine 1 std,-25.575966547906248,-0.49673656872007477,away_from_healthy
Mean angle acceleration at peak - spine - spine 2 (rad/s^2),-42.70546390040802,83.8040244342844,-45.117865591716225,72.19873897295132,10,10,0.15133821842666587,n.s.,Circular,Mean angle acceleration at peak - spine - spine 2 (rad/s^2),26.298394294296795,0.2849782938193746,towards_healthy
Mean angle acceleration at peak - spine - spine 2 std,123.25911854538967,52.46294780966461,172.62467695753713,60.09779468149305,10,10,0.602596641165666,n.s.,Levene,Mean angle acceleration at peak - spine - spine 2 std,-23.5948655957976,-0.38037751123766417,away_from_healthy
Mean angle acceleration at peak - spine - spine 3 (rad/s^2),-47.06896502603729,66.97935588509405,-54.70607835491238,141.71983256278992,10,10,0.1793186344109201,n.s.,Circular,Mean angle acceleration at peak - spine - spine 3 (rad/s^2),29.962975307704326,0.22068411005616712,towards_healthy
Mean angle acceleration at peak - spine - spine 3 std,97.16683958693869,47.24983415852673,144.04249315469093,81.50804724835155,10,10,0.14411131155971973,n.s.,Levene,Mean angle acceleration at peak - spine - spine 3 std,13.823972829059358,0.1357968609875453,towards_healthy
Mean angle acceleration at peak - spine - spine 4 (rad/s^2),73.51812756225557,68.04863556154935,17.50481060641301,76.42008648665492,10,10,0.15622678829179984,n.s.,Circular,Mean angle acceleration at peak - spine - spine 4 (rad/s^2),-3.1050514268163276,-0.028976236459490035,away_from_healthy
Mean angle acceleration at peak - spine - spine 4 std,103.14771772488685,63.32783886151999,111.07122068949438,75.97560649173965,10,10,0.6904900605319795,n.s.,Levene,Mean angle acceleration at peak - spine - spine 4 std,15.32407987258945,0.22393182222650046,towards_healthy
Mean angle acceleration at peak - tail - base (rad/s^2),-11.069667211417755,63.166433401480404,-27.481984893217277,66.20136370399126,10,10,0.3860309145806592,n.s.,Circular,Mean angle acceleration at peak - tail - base (rad/s^2),23.914216017002087,0.5564077653187062,towards_healthy
Mean angle acceleration at peak - tail - base std,82.84411509819931,42.03073664388215,96.97880655681463,40.54842580032138,10,10,0.8146458963305538,n.s.,Levene,Mean angle acceleration at peak - tail - base std,-14.109355569644563,-0.29843768421751904,away_from_healthy
Mean angle acceleration at peak - tail - tail 1 (rad/s^2),-7.452560199190091,87.20378693107388,-11.691181686407734,148.47456131512763,10,10,0.17473925289815329,n.s.,Circular,Mean angle acceleration at peak - tail - tail 1 (rad/s^2),24.68518422307574,0.24615068341871002,towards_healthy
Mean angle acceleration at peak - tail - tail 1 std,148.96837686708727,49.826700573616705,112.50860952999945,50.96443062847614,10,10,0.7050529086203495,n.s.,Levene,Mean angle acceleration at peak - tail - tail 1 std,13.569512791093103,0.3175694811159693,towards_healthy
Mean angle acceleration at peak - tail - tail 2 (rad/s^2),-27.325708827923723,92.71488282648615,26.592724727090115,97.29537634961964,10,10,0.49007131481848887,n.s.,Circular,Mean angle acceleration at peak - tail - tail 2 (rad/s^2),-5.429711710970546,-0.045370860689090506,away_from_healthy
Mean angle acceleration at peak - tail - tail 2 std,146.22316693372335,65.88663503396418,108.63234365023546,41.53173246912154,10,10,0.16358627369934522,n.s.,Levene,Mean angle acceleration at peak - tail - tail 2 std,-23.904803373468596,-0.2764416982018474,away_from_healthy
Mean angle acceleration at peak - tail - tail 3 (rad/s^2),17.156394797503623,121.75911636692489,29.77660423322505,132.7764395644073,10,10,0.25934174617734396,n.s.,Circular,Mean angle acceleration at peak - tail - tail 3 (rad/s^2),-1.3000603416978151,-0.010319167085154455,away_from_healthy
Mean angle acceleration at peak - tail - tail 3 std,139.63361820651997,84.14243461989405,131.49886620391072,80.34463697636386,10,10,0.9095723145898584,n.s.,Levene,Mean angle acceleration at peak - tail - tail 3 std,-2.8154804605418633,-0.03166716224309823,away_from_healthy
Mean angle acceleration at peak - tail - tail 4 (rad/s^2),-16.01402281078908,85.48990313077512,-57.94913201190078,91.06744390382696,10,10,0.9489633849466619,n.s.,Circular,Mean angle acceleration at peak - tail - tail 4 (rad/s^2),-58.74000320557249,-0.43950588913801086,away_from_healthy
Mean angle acceleration at peak - tail - tail 4 std,163.31250167142406,104.97064409443392,111.16608874328696,65.68506600465588,10,10,0.06337775102618473,n.s.,Levene,Mean angle acceleration at peak - tail - tail 4 std,-42.717610685192255,-0.480692968844718,away_from_healthy
Mean angle acceleration at stance - rforelimb - elbow (rad/s^2),-613.8857168233992,301.99173543196633,-975.8712140752298,511.02072630203406,10,10,0.8258382316237359,n.s.,Circular,Mean angle acceleration at stance - rforelimb - elbow (rad/s^2),147.64316349044873,0.40582162058830734,towards_healthy
Mean angle acceleration at stance - rforelimb - elbow std,468.1692164721877,250.30100711461557,472.5666418586572,168.17183708557226,10,10,0.13567392254952895,n.s.,Levene,Mean angle acceleration at stance - rforelimb - elbow std,-34.70622665670277,-0.13142715459854934,away_from_healthy
