Feature,Statistical Test,Global p-value,Global significance,Mean Healthy Left B,SD Healthy Left B,Number of samples in Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Sick Left C,Mean Sick Left E,SD Sick Left E,Number of samples in Sick Left E,p-value Healthy Left B vs Sick Left C,Significance Healthy Left B vs Sick Left C,p-value Healthy Left B vs Sick Left E,Significance Healthy Left B vs Sick Left E,p-value Sick Left C vs Sick Left E,Significance Sick Left C vs Sick Left E,feature,change value,change_effect_size,direction
Mean angle acceleration at peak - rhindlimb - knee (rad/s^2),Circular,0.6407337300364395,n.s.,201.56946594279148,328.00775994548167,10,468.4464615007867,289.44044061322865,10,329.01843543374116,228.87604668226095,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rhindlimb - knee (rad/s^2),139.42802606704552,0.4507481797862706,towards_healthy
Mean angle acceleration at peak - rhindlimb - knee std,Levene,0.9978794134681152,n.s.,308.0713166825641,108.0113492704183,10,221.12890295035442,107.42383383836794,10,250.0146063690237,105.60736226215656,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - rhindlimb - knee std,28.885703418669294,0.2681604331204849,towards_healthy
Mean angle acceleration at peak - rhindlimb - lHindfingers (rad/s^2),Circular,0.019791706216987656,*,1474.2892567330496,1167.2619667918616,10,-262.91963035330684,598.9859963693519,10,-324.04155111586715,574.7001683775095,10,0.918093766758852,n.s.,1.0,n.s.,0.6600115016751724,n.s.,Mean angle acceleration at peak - rhindlimb - lHindfingers (rad/s^2),-61.12192076256042,-0.06588486103238661,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindfingers std,Levene,0.07394029427120381,n.s.,996.6012097688647,487.1792213229597,10,1064.3836751420267,744.274512264323,10,698.5902460174751,372.01798338024815,10,0.6293467252437679,n.s.,0.7013678437461214,n.s.,0.12987550167148507,n.s.,Mean angle acceleration at peak - rhindlimb - lHindfingers std,-230.22849837822753,-0.366021629043179,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindpaw (rad/s^2),Circular,0.20531848858815227,n.s.,-530.2718964990723,827.5280459355228,10,-190.67057461915226,495.11826237787835,10,-64.31893238463874,525.0210275337014,10,1.0,n.s.,0.040592931861961744,*,0.2111373115767587,n.s.,Mean angle acceleration at peak - rhindlimb - lHindpaw (rad/s^2),-126.35164223451352,-0.18529654125397904,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindpaw std,Levene,0.21891664616511575,n.s.,1086.5864181594907,943.862412297049,10,668.8207380648738,328.4631784465817,10,721.9031143706117,209.6523645156935,10,1.0,n.s.,0.48120695028630034,n.s.,0.29393315977509327,n.s.,Mean angle acceleration at peak - rhindlimb - lHindpaw std,53.08237630573785,0.07511624092387773,towards_healthy
Mean angle acceleration at peak - spine - base (rad/s^2),Circular,0.2904945382940137,n.s.,29.416702132981147,96.07216059238446,10,52.18580135080265,48.98673854686161,10,58.40678202382918,52.789801745218675,10,0.6124220799225246,n.s.,0.4057724945517504,n.s.,1.0,n.s.,Mean angle acceleration at peak - spine - base (rad/s^2),-6.220980673026531,-0.08158159594989212,away_from_healthy
Mean angle acceleration at peak - spine - base std,Levene,0.6060665609966964,n.s.,82.50492661910025,57.28615135790029,10,79.60074241875444,37.21670508906656,10,55.63371216246052,40.88053683594169,10,1.0,n.s.,1.0,n.s.,1.0,n.s.,Mean angle acceleration at peak - spine - base std,-23.967030256293917,-0.4961583058663746,away_from_healthy
Mean angle acceleration at peak - spine - head (rad/s^2),Circular,0.2334584508795989,n.s.,16.692969130297605,61.46314250296775,10,9.212473498144123,45.19662452256402,10,9.739030669317183,38.45826303464255,10,0.27357167327033005,n.s.,0.23370082350268878,n.s.,0.07245903645823239,n.s.,Mean angle acceleration at peak - spine - head (rad/s^2),0.5265571711730601,0.009760726536710462,towards_healthy
Mean angle acceleration at peak - spine - head std,Levene,0.35391887326912214,n.s.,70.49566116543392,25.322116379707087,10,77.81553001941292,41.20720762404498,10,60.88635355861984,21.35184851233855,10,0.8862748612152076,n.s.,1.0,n.s.,0.7382364684135023,n.s.,Mean angle acceleration at peak - spine - head std,-2.289438752835075,-0.0669431753085286,away_from_healthy
