Feature,Mean Healthy Left B,SD Healthy Left B,Mean Sick Left C,SD Sick Left C,Number of samples in Healthy Left B,Number of samples in Sick Left C,p-value Healthy Left B vs Sick Left C,Significance,Statistical Test,feature,change value,change_effect_size,direction
Mean angle acceleration at peak - rhindlimb - ankle std,977.0307765930336,390.31384252227053,497.2965876255498,250.79460963423858,10,10,0.311080396974338,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - ankle std,-0.9053799629615469,-0.0027598248960265842,away_from_healthy
Mean angle acceleration at peak - rhindlimb - hip (rad/s^2),164.6739610088399,356.0694155019595,-40.11268472398932,313.0900226113156,10,10,0.3644673128026963,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - hip (rad/s^2),144.0201246742691,0.42956570704158525,towards_healthy
Mean angle acceleration at peak - rhindlimb - hip std,379.69589089269596,174.9374643445488,339.62246403471806,268.9863775323927,10,10,0.6843394841012164,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - hip std,-51.215728564105405,-0.22573082088387547,away_from_healthy
Mean angle acceleration at peak - rhindlimb - knee (rad/s^2),201.56946594279148,328.00775994548167,468.4464615007867,289.44044061322865,10,10,0.5024229658366228,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - knee (rad/s^2),139.42802606704552,0.4507481797862706,towards_healthy
Mean angle acceleration at peak - rhindlimb - knee std,308.0713166825641,108.0113492704183,221.12890295035442,107.42383383836794,10,10,0.9871589394451834,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - knee std,28.885703418669294,0.2681604331204849,towards_healthy
Mean angle acceleration at peak - rhindlimb - lHindfingers (rad/s^2),1474.2892567330496,1167.2619667918616,-262.91963035330684,598.9859963693519,10,10,0.306031255586284,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - lHindfingers (rad/s^2),-61.12192076256042,-0.06588486103238661,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindfingers std,996.6012097688647,487.1792213229597,1064.3836751420267,744.274512264323,10,10,0.2097822417479226,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - lHindfingers std,-230.22849837822753,-0.366021629043179,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindpaw (rad/s^2),-530.2718964990723,827.5280459355228,-190.67057461915226,495.11826237787835,10,10,0.4489209558692234,n.s.,Circular,Mean angle acceleration at peak - rhindlimb - lHindpaw (rad/s^2),-126.35164223451352,-0.18529654125397904,away_from_healthy
Mean angle acceleration at peak - rhindlimb - lHindpaw std,1086.5864181594907,943.862412297049,668.8207380648738,328.4631784465817,10,10,0.33593895281215097,n.s.,Levene,Mean angle acceleration at peak - rhindlimb - lHindpaw std,53.08237630573785,0.07511624092387773,towards_healthy
Mean angle acceleration at peak - spine - base (rad/s^2),29.416702132981147,96.07216059238446,52.18580135080265,48.98673854686161,10,10,0.20414069330750823,n.s.,Circular,Mean angle acceleration at peak - spine - base (rad/s^2),-6.220980673026531,-0.08158159594989212,away_from_healthy
Mean angle acceleration at peak - spine - base std,82.50492661910025,57.28615135790029,79.60074241875444,37.21670508906656,10,10,0.3778379460911808,n.s.,Levene,Mean angle acceleration at peak - spine - base std,-23.967030256293917,-0.4961583058663746,away_from_healthy
Mean angle acceleration at peak - spine - head (rad/s^2),16.692969130297605,61.46314250296775,9.212473498144123,45.19662452256402,10,10,0.09119055775677669,n.s.,Circular,Mean angle acceleration at peak - spine - head (rad/s^2),0.5265571711730601,0.009760726536710462,towards_healthy
Mean angle acceleration at peak - spine - head std,70.49566116543392,25.322116379707087,77.81553001941292,41.20720762404498,10,10,0.2954249537384026,n.s.,Levene,Mean angle acceleration at peak - spine - head std,-2.289438752835075,-0.0669431753085286,away_from_healthy
Mean angle acceleration at peak - spine - spine 1 (rad/s^2),-4.4315951131292355,84.97684559210344,43.09555677957318,58.932797310992314,10,10,0.1565811655969894,n.s.,Circular,Mean angle acceleration at peak - spine - spine 1 (rad/s^2),-6.8659473749375906,-0.09389501987581422,away_from_healthy
Mean angle acceleration at peak - spine - spine 1 std,143.97784768487247,61.02608671344978,133.7358965268926,39.722066679210194,10,10,0.23676799038715315,n.s.,Levene,Mean angle acceleration at peak - spine - spine 1 std,-25.575966547906248,-0.49673656872007477,away_from_healthy
Mean angle acceleration at peak - spine - spine 2 (rad/s^2),-27.943726962750635,73.35295015450966,15.528805960511752,107.94125819998858,10,10,0.5909656905253737,n.s.,Circular,Mean angle acceleration at peak - spine - spine 2 (rad/s^2),26.298394294296795,0.2849782938193746,towards_healthy
Mean angle acceleration at peak - spine - spine 2 std,120.52955593697098,63.45477164426092,92.02930051220243,60.57198560569336,10,10,0.8435982823608476,n.s.,Levene,Mean angle acceleration at peak - spine - spine 2 std,-23.5948655957976,-0.38037751123766417,away_from_healthy
